geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
11797,zh-Hans,AS,亚洲,IR,伊朗,02,,,,,,Asia/Tehran,0
18918,zh-Hans,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,,,Asia/Famagusta,1
49518,zh-Hans,AF,非洲,RW,卢旺达,,,,,,,Africa/Kigali,0
49747,zh-Hans,AF,非洲,SO,索马里,BK,,,,,,Africa/Mogadishu,0
51537,zh-Hans,AF,非洲,SO,索马里,,,,,,,Africa/Mogadishu,0
51966,zh-Hans,AF,非洲,SO,索马里,SH,,,,,,Africa/Mogadishu,0
51967,zh-Hans,AF,非洲,SO,索马里,SD,,,,,,Africa/Mogadishu,0
52187,zh-Hans,AF,非洲,SO,索马里,SA,,,,,,Africa/Mogadishu,0
53477,zh-Hans,AF,非洲,SO,索马里,NU,,,,,,Africa/Mogadishu,0
53654,zh-Hans,AF,非洲,SO,索马里,BN,,,,摩加迪休,,Africa/Mogadishu,0
53707,zh-Hans,AF,非洲,SO,索马里,MU,,,,,,Africa/Mogadishu,0
54225,zh-Hans,AF,非洲,SO,索马里,SH,,,,,,Africa/Mogadishu,0
55671,zh-Hans,AF,非洲,SO,索马里,JH,,,,,,Africa/Mogadishu,0
56084,zh-Hans,AF,非洲,SO,索马里,JD,,,,,,Africa/Mogadishu,0
57060,zh-Hans,AF,非洲,SO,索马里,HI,,,,,,Africa/Mogadishu,0
57289,zh-Hans,AF,非洲,SO,索马里,WO,,,,,,Africa/Mogadishu,0
57723,zh-Hans,AF,非洲,SO,索马里,JD,,,,,,Africa/Mogadishu,0
58802,zh-Hans,AF,非洲,SO,索马里,GE,,,,,,Africa/Mogadishu,0
58933,zh-Hans,AF,非洲,SO,索马里,NU,,,,加罗韦,,Africa/Mogadishu,0
58994,zh-Hans,AF,非洲,SO,索马里,GE,,,,,,Africa/Mogadishu,0
59362,zh-Hans,AF,非洲,SO,索马里,GA,,,,,,Africa/Mogadishu,0
59611,zh-Hans,AF,非洲,SO,索马里,MU,,,,,,Africa/Mogadishu,0
62691,zh-Hans,AF,非洲,SO,索马里,SA,,,,,,Africa/Mogadishu,0
63795,zh-Hans,AF,非洲,SO,索马里,TO,,,,,,Africa/Mogadishu,0
63949,zh-Hans,AF,非洲,SO,索马里,JD,,,,,,Africa/Mogadishu,0
64013,zh-Hans,AF,非洲,SO,索马里,BR,,,,博萨索,,Africa/Mogadishu,0
64460,zh-Hans,AF,非洲,SO,索马里,HI,,,,,,Africa/Mogadishu,0
64536,zh-Hans,AF,非洲,SO,索马里,BY,,,,,,Africa/Mogadishu,0
64538,zh-Hans,AF,非洲,SO,索马里,BY,,,,,,Africa/Mogadishu,0
64661,zh-Hans,AF,非洲,SO,索马里,BR,,,,,,Africa/Mogadishu,0
64833,zh-Hans,AF,非洲,SO,索马里,BN,,,,,,Africa/Mogadishu,0
64982,zh-Hans,AF,非洲,SO,索马里,BK,,,,,,Africa/Mogadishu,0
65785,zh-Hans,AF,非洲,SO,索马里,SH,,,,,,Africa/Mogadishu,0
69543,zh-Hans,AS,亚洲,YE,也门,,,,,,,Asia/Aden,0
70222,zh-Hans,AS,亚洲,YE,也门,TA,,,,,,Asia/Aden,0
71132,zh-Hans,AS,亚洲,YE,也门,SN,,,,,,Asia/Aden,0
71135,zh-Hans,AS,亚洲,YE,也门,HD,哈德拉毛省,,,,,Asia/Aden,0
71137,zh-Hans,AS,亚洲,YE,也门,SA,,,,萨那,,Asia/Aden,0
71490,zh-Hans,AS,亚洲,YE,也门,BA,贝达省,,,,,Asia/Aden,0
73560,zh-Hans,AS,亚洲,YE,也门,LA,拉赫季省,,,,,Asia/Aden,0
74477,zh-Hans,AS,亚洲,YE,也门,IB,伊卜省,,,伊卜,,Asia/Aden,0
75337,zh-Hans,AS,亚洲,YE,也门,HJ,哈杰省,,,,,Asia/Aden,0
75427,zh-Hans,AS,亚洲,YE,也门,SU,索科特拉省,,,,,Asia/Aden,0
76184,zh-Hans,AS,亚洲,YE,也门,DH,扎馬尔省,,,,,Asia/Aden,0
76933,zh-Hans,AS,亚洲,YE,也门,AM,,,,,,Asia/Aden,0
77726,zh-Hans,AS,亚洲,YE,也门,SH,舍卜沃省,,,,,Asia/Aden,0
77843,zh-Hans,AS,亚洲,YE,也门,HU,荷台达省,,,,,Asia/Aden,0
78751,zh-Hans,AS,亚洲,YE,也门,TA,,,,穆哈,,Asia/Aden,0
78754,zh-Hans,AS,亚洲,YE,也门,HD,哈德拉毛省,,,,,Asia/Aden,0
78977,zh-Hans,AS,亚洲,YE,也门,MW,迈赫维特省,,,,,Asia/Aden,0
79415,zh-Hans,AS,亚洲,YE,也门,HU,荷台达省,,,,,Asia/Aden,0
79455,zh-Hans,AS,亚洲,YE,也门,JA,焦夫省,,,,,Asia/Aden,0
79700,zh-Hans,AS,亚洲,YE,也门,MR,,,,,,Asia/Aden,0
79836,zh-Hans,AS,亚洲,YE,也门,BA,贝达省,,,,,Asia/Aden,0
80384,zh-Hans,AS,亚洲,YE,也门,DA,,,,,,Asia/Aden,0
80425,zh-Hans,AS,亚洲,YE,也门,AB,阿比扬省,,,,,Asia/Aden,0
81302,zh-Hans,AF,非洲,LY,利比亚,BU,,,,图卜鲁格,,Africa/Tripoli,0
85026,zh-Hans,AF,非洲,LY,利比亚,JA,,,,,,Africa/Tripoli,0
87204,zh-Hans,AF,非洲,LY,利比亚,DR,,,,,,Africa/Tripoli,0
87205,zh-Hans,AF,非洲,LY,利比亚,DR,,,,,,Africa/Tripoli,0
88318,zh-Hans,AF,非洲,LY,利比亚,BA,,,,,,Africa/Tripoli,0
88319,zh-Hans,AF,非洲,LY,利比亚,BA,,,,班加西,,Africa/Tripoli,0
88562,zh-Hans,AF,非洲,LY,利比亚,KF,,,,,,Africa/Tripoli,0
88903,zh-Hans,AF,非洲,LY,利比亚,MJ,,,,,,Africa/Tripoli,0
88904,zh-Hans,AF,非洲,LY,利比亚,MJ,,,,,,Africa/Tripoli,0
88932,zh-Hans,AF,非洲,LY,利比亚,KF,,,,,,Africa/Tripoli,0
88962,zh-Hans,AF,非洲,LY,利比亚,KF,,,,,,Africa/Tripoli,0
89055,zh-Hans,AF,非洲,LY,利比亚,JA,,,,,,Africa/Tripoli,0
89090,zh-Hans,AF,非洲,LY,利比亚,JA,,,,,,Africa/Tripoli,0
89113,zh-Hans,AF,非洲,LY,利比亚,WA,,,,艾季达比耶,,Africa/Tripoli,0
89341,zh-Hans,AS,亚洲,IQ,伊拉克,BA,巴士拉省,,,,,Asia/Baghdad,0
