geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
11797,zh-Hant,AS,亞洲,IR,伊朗,02,,,,,,Asia/Tehran,0
18918,zh-Hant,EU,歐洲,CY,塞浦路斯,04,法馬古斯塔區,,,,,Asia/Famagusta,1
49518,zh-Hant,AF,非洲,RW,盧旺達,,,,,,,Africa/Kigali,0
49747,zh-Hant,AF,非洲,SO,索馬里,BK,,,,,,Africa/Mogadishu,0
51537,zh-Hant,AF,非洲,SO,索馬里,,,,,,,Africa/Mogadishu,0
51966,zh-Hant,AF,非洲,SO,索馬里,SH,,,,,,Africa/Mogadishu,0
51967,zh-Hant,AF,非洲,SO,索馬里,SD,,,,,,Africa/Mogadishu,0
52187,zh-Hant,AF,非洲,SO,索馬里,SA,,,,,,Africa/Mogadishu,0
53477,zh-Hant,AF,非洲,SO,索馬里,NU,,,,,,Africa/Mogadishu,0
53654,zh-Hant,AF,非洲,SO,索馬里,BN,,,,摩加迪休,,Africa/Mogadishu,0
53707,zh-Hant,AF,非洲,SO,索馬里,MU,,,,,,Africa/Mogadishu,0
54225,zh-Hant,AF,非洲,SO,索馬里,SH,,,,,,Africa/Mogadishu,0
55671,zh-Hant,AF,非洲,SO,索馬里,JH,,,,,,Africa/Mogadishu,0
56084,zh-Hant,AF,非洲,SO,索馬里,JD,,,,,,Africa/Mogadishu,0
57060,zh-Hant,AF,非洲,SO,索馬里,HI,,,,,,Africa/Mogadishu,0
57289,zh-Hant,AF,非洲,SO,索馬里,WO,,,,,,Africa/Mogadishu,0
57723,zh-Hant,AF,非洲,SO,索馬里,JD,,,,,,Africa/Mogadishu,0
58802,zh-Hant,AF,非洲,SO,索馬里,GE,,,,,,Africa/Mogadishu,0
58933,zh-Hant,AF,非洲,SO,索馬里,NU,,,,加羅韋,,Africa/Mogadishu,0
58994,zh-Hant,AF,非洲,SO,索馬里,GE,,,,,,Africa/Mogadishu,0
59362,zh-Hant,AF,非洲,SO,索馬里,GA,,,,,,Africa/Mogadishu,0
59611,zh-Hant,AF,非洲,SO,索馬里,MU,,,,,,Africa/Mogadishu,0
62691,zh-Hant,AF,非洲,SO,索馬里,SA,,,,,,Africa/Mogadishu,0
63795,zh-Hant,AF,非洲,SO,索馬里,TO,,,,,,Africa/Mogadishu,0
63949,zh-Hant,AF,非洲,SO,索馬里,JD,,,,,,Africa/Mogadishu,0
64013,zh-Hant,AF,非洲,SO,索馬里,BR,,,,博薩索,,Africa/Mogadishu,0
64460,zh-Hant,AF,非洲,SO,索馬里,HI,,,,,,Africa/Mogadishu,0
64536,zh-Hant,AF,非洲,SO,索馬里,BY,,,,,,Africa/Mogadishu,0
64538,zh-Hant,AF,非洲,SO,索馬里,BY,,,,,,Africa/Mogadishu,0
64661,zh-Hant,AF,非洲,SO,索馬里,BR,,,,,,Africa/Mogadishu,0
64833,zh-Hant,AF,非洲,SO,索馬里,BN,,,,,,Africa/Mogadishu,0
64982,zh-Hant,AF,非洲,SO,索馬里,BK,,,,,,Africa/Mogadishu,0
65785,zh-Hant,AF,非洲,SO,索馬里,SH,,,,,,Africa/Mogadishu,0
69543,zh-Hant,AS,亞洲,YE,也門,,,,,,,Asia/Aden,0
70222,zh-Hant,AS,亞洲,YE,也門,TA,,,,,,Asia/Aden,0
71132,zh-Hant,AS,亞洲,YE,也門,SN,,,,,,Asia/Aden,0
71135,zh-Hant,AS,亞洲,YE,也門,HD,哈德拉毛省,,,,,Asia/Aden,0
71137,zh-Hant,AS,亞洲,YE,也門,SA,,,,薩那,,Asia/Aden,0
71490,zh-Hant,AS,亞洲,YE,也門,BA,貝達省,,,,,Asia/Aden,0
73560,zh-Hant,AS,亞洲,YE,也門,LA,拉赫季省,,,,,Asia/Aden,0
74477,zh-Hant,AS,亞洲,YE,也門,IB,伊卜省,,,伊卜,,Asia/Aden,0
75337,zh-Hant,AS,亞洲,YE,也門,HJ,哈傑省,,,,,Asia/Aden,0
75427,zh-Hant,AS,亞洲,YE,也門,SU,索科特拉省,,,,,Asia/Aden,0
76184,zh-Hant,AS,亞洲,YE,也門,DH,扎馬爾省,,,,,Asia/Aden,0
76933,zh-Hant,AS,亞洲,YE,也門,AM,,,,,,Asia/Aden,0
77726,zh-Hant,AS,亞洲,YE,也門,SH,舍卜沃省,,,,,Asia/Aden,0
77843,zh-Hant,AS,亞洲,YE,也門,HU,荷台達省,,,,,Asia/Aden,0
78751,zh-Hant,AS,亞洲,YE,也門,TA,,,,穆哈,,Asia/Aden,0
78754,zh-Hant,AS,亞洲,YE,也門,HD,哈德拉毛省,,,,,Asia/Aden,0
78977,zh-Hant,AS,亞洲,YE,也門,MW,邁赫維特省,,,,,Asia/Aden,0
79415,zh-Hant,AS,亞洲,YE,也門,HU,荷台達省,,,,,Asia/Aden,0
79455,zh-Hant,AS,亞洲,YE,也門,JA,焦夫省,,,,,Asia/Aden,0
79700,zh-Hant,AS,亞洲,YE,也門,MR,,,,,,Asia/Aden,0
79836,zh-Hant,AS,亞洲,YE,也門,BA,貝達省,,,,,Asia/Aden,0
80384,zh-Hant,AS,亞洲,YE,也門,DA,,,,,,Asia/Aden,0
80425,zh-Hant,AS,亞洲,YE,也門,AB,阿比揚省,,,,,Asia/Aden,0
81302,zh-Hant,AF,非洲,LY,利比亞,BU,,,,圖卜魯格,,Africa/Tripoli,0
85026,zh-Hant,AF,非洲,LY,利比亞,JA,,,,,,Africa/Tripoli,0
87204,zh-Hant,AF,非洲,LY,利比亞,DR,,,,,,Africa/Tripoli,0
87205,zh-Hant,AF,非洲,LY,利比亞,DR,,,,,,Africa/Tripoli,0
88318,zh-Hant,AF,非洲,LY,利比亞,BA,,,,,,Africa/Tripoli,0
88319,zh-Hant,AF,非洲,LY,利比亞,BA,,,,班加西,,Africa/Tripoli,0
88562,zh-Hant,AF,非洲,LY,利比亞,KF,,,,,,Africa/Tripoli,0
88903,zh-Hant,AF,非洲,LY,利比亞,MJ,,,,,,Africa/Tripoli,0
88904,zh-Hant,AF,非洲,LY,利比亞,MJ,,,,,,Africa/Tripoli,0
88932,zh-Hant,AF,非洲,LY,利比亞,KF,,,,,,Africa/Tripoli,0
88962,zh-Hant,AF,非洲,LY,利比亞,KF,,,,,,Africa/Tripoli,0
89055,zh-Hant,AF,非洲,LY,利比亞,JA,,,,,,Africa/Tripoli,0
89090,zh-Hant,AF,非洲,LY,利比亞,JA,,,,,,Africa/Tripoli,0
89113,zh-Hant,AF,非洲,LY,利比亞,WA,,,,艾季達比耶,,Africa/Tripoli,0
89341,zh-Hant,AS,亞洲,IQ,伊拉克,BA,巴士拉省,,,,,Asia/Baghdad,0
89570,zh-Hant,AS,亞洲,IQ,伊拉克,DA,杜胡克省,,,,,Asia/Baghdad,0
89693,zh-Hant,AS,亞洲,IQ,伊拉克,WA,,,,,,Asia/Baghdad,0
90831,zh-Hant,AS,亞洲,IQ,伊拉克,KA,,,,,,Asia/Baghdad,0
91419,zh-Hant,AS,亞洲,IQ,伊拉克,BA,巴士拉省,,,,,Asia/Baghdad,0
91695,zh-Hant,AS,亞洲,IQ,伊拉克,SD,薩拉赫丁省,,,,,Asia/Baghdad,0
92052,zh-Hant,AS,亞洲,IQ,伊拉克,SU,,,,,,Asia/Baghdad,0
92877,zh-Hant,AS,亞洲,IQ,伊拉克,NI,尼尼微省,,,,,Asia/Baghdad,0
93540,zh-Hant,AS,亞洲,IQ,伊拉克,MA,米桑省,,,,,Asia/Baghdad,0
94787,zh-Hant,AS,亞洲,IQ,伊拉克,KI,,,,,,Asia/Baghdad,0
94823,zh-Hant,AS,亞洲,IQ,伊拉克,KA,,,,,,Asia/Baghdad,0
94824,zh-Hant,AS,亞洲,IQ,伊拉克,KA,,,,,,Asia/Baghdad,0
95005,zh-Hant,AS,亞洲,IQ,伊拉克,SU,,,,,,Asia/Baghdad,0
95445,zh-Hant,AS,亞洲,IQ,伊拉克,AR,埃爾比勒省,,,,,Asia/Baghdad,0
95446,zh-Hant,AS,亞洲,IQ,伊拉克,AR,埃爾比勒省,,,,,Asia/Baghdad,0
96965,zh-Hant,AS,亞洲,IQ,伊拉克,DI,,,,,,Asia/Baghdad,0
96994,zh-Hant,AS,亞洲,IQ,伊拉克,DA,杜胡克省,,,達霍克,,Asia/Baghdad,0
97019,zh-Hant,AS,亞洲,IQ,伊拉克,DQ,,,,,,Asia/Baghdad,0
97270,zh-Hant,AS,亞洲,IQ,伊拉克,DA,杜胡克省,,,,,Asia/Baghdad,0
97990,zh-Hant,AS,亞洲,IQ,伊拉克,DI,,,,巴古拜,,Asia/Baghdad,0
98180,zh-Hant,AS,亞洲,IQ,伊拉克,BG,,,,,,Asia/Baghdad,0
98182,zh-Hant,AS,亞洲,IQ,伊拉克,BG,,,,巴格達,,Asia/Baghdad,0
98227,zh-Hant,AS,亞洲,IQ,伊拉克,BB,巴比倫省,,,,,Asia/Baghdad,0
98245,zh-Hant,AS,亞洲,IQ,伊拉克,BA,巴士拉省,,,,,Asia/Baghdad,0
98304,zh-Hant,AS,亞洲,IQ,伊拉克,AR,埃爾比勒省,,,,,Asia/Baghdad,0
98410,zh-Hant,AS,亞洲,IQ,伊拉克,KI,,,,,,Asia/Baghdad,0
98463,zh-Hant,AS,亞洲,IQ,伊拉克,SU,,,,,,Asia/Baghdad,0
98530,zh-Hant,AS,亞洲,IQ,伊拉克,MU,,,,,,Asia/Baghdad,0
98717,zh-Hant,AS,亞洲,IQ,伊拉克,AN,安巴爾省,,,,,Asia/Baghdad,0
98854,zh-Hant,AS,亞洲,IQ,伊拉克,DQ,,,,,,Asia/Baghdad,0
98860,zh-Hant,AS,亞洲,IQ,伊拉克,NA,,,,納傑夫,,Asia/Baghdad,0
99022,zh-Hant,AS,亞洲,IQ,伊拉克,QA,卡迪西亞省,,,,,Asia/Baghdad,0
99032,zh-Hant,AS,亞洲,IQ,伊拉克,MU,,,,,,Asia/Baghdad,0
99039,zh-Hant,AS,亞洲,IQ,伊拉克,BB,巴比倫省,,,,,Asia/Baghdad,0
99071,zh-Hant,AS,亞洲,IQ,伊拉克,NI,尼尼微省,,,,,Asia/Baghdad,0
99072,zh-Hant,AS,亞洲,IQ,伊拉克,NI,尼尼微省,,,摩蘇爾,,Asia/Baghdad,0
99237,zh-Hant,AS,亞洲,IQ,伊拉克,,,,,,,Asia/Baghdad,0
99347,zh-Hant,AS,亞洲,IQ,伊拉克,BB,巴比倫省,,,希拉,,Asia/Baghdad,0
99532,zh-Hant,AS,亞洲,IQ,伊拉克,BA,巴士拉省,,,巴士拉,,Asia/Baghdad,0
99592,zh-Hant,AS,亞洲,IQ,伊拉克,AN,安巴爾省,,,,,Asia/Baghdad,0
99608,zh-Hant,AS,亞洲,IQ,伊拉克,MA,米桑省,,,,,Asia/Baghdad,0
99762,zh-Hant,AS,亞洲,IQ,伊拉克,QA,卡迪西亞省,,,,,Asia/Baghdad,0
100077,zh-Hant,AS,亞洲,IQ,伊拉克,BG,,,,,,Asia/Baghdad,0
100425,zh-Hant,AS,亞洲,SA,沙特阿拉伯,03,,,,,,Asia/Riyadh,0
100768,zh-Hant,AS,亞洲,SA,沙特阿拉伯,05,,,,,,Asia/Riyadh,0
100926,zh-Hant,AS,亞洲,SA,沙特阿拉伯,07,塔布克省,,,,,Asia/Riyadh,0
101312,zh-Hant,AS,亞洲,SA,沙特阿拉伯,08,,,,,,Asia/Riyadh,0
101628,zh-Hant,AS,亞洲,SA,沙特阿拉伯,07,塔布克省,,,塔布克,,Asia/Riyadh,0
101732,zh-Hant,AS,亞洲,SA,沙特阿拉伯,05,,,,,,Asia/Riyadh,0
101760,zh-Hant,AS,亞洲,SA,沙特阿拉伯,03,,,,,,Asia/Riyadh,0
101773,zh-Hant,AS,亞洲,SA,沙特阿拉伯,14,阿西爾省,,,,,Asia/Riyadh,0
102170,zh-Hant,AS,亞洲,SA,沙特阿拉伯,01,利雅得省,,,,,Asia/Riyadh,0
102229,zh-Hant,AS,亞洲,SA,沙特阿拉伯,01,利雅得省,,,,,Asia/Riyadh,0
102318,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
102358,zh-Hant,AS,亞洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
102458,zh-Hant,AS,亞洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
102585,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
102891,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,拉斯坦努拉,,Asia/Riyadh,0
102912,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
103019,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
103035,zh-Hant,AS,亞洲,SA,沙特阿拉伯,02,,,,,,Asia/Riyadh,0
103369,zh-Hant,AS,亞洲,SA,沙特阿拉伯,14,阿西爾省,,,,,Asia/Riyadh,0
103630,zh-Hant,AS,亞洲,SA,沙特阿拉伯,10,奈季蘭省,,,,,Asia/Riyadh,0
104514,zh-Hant,AS,亞洲,SA,沙特阿拉伯,02,,,,,,Asia/Riyadh,0
104515,zh-Hant,AS,亞洲,SA,沙特阿拉伯,02,,,,,,Asia/Riyadh,0
105026,zh-Hant,AS,亞洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
105072,zh-Hant,AS,亞洲,SA,沙特阿拉伯,14,阿西爾省,,,海米斯穆謝特,,Asia/Riyadh,0
105299,zh-Hant,AS,亞洲,SA,沙特阿拉伯,09,,,,,,Asia/Riyadh,0
105343,zh-Hant,AS,亞洲,SA,沙特阿拉伯,02,,,,吉達,,Asia/Riyadh,0
105357,zh-Hant,AS,亞洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
106281,zh-Hant,AS,亞洲,SA,沙特阿拉伯,06,,,,,,Asia/Riyadh,0
106297,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
107304,zh-Hant,AS,亞洲,SA,沙特阿拉伯,05,,,,,,Asia/Riyadh,0
107312,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
107729,zh-Hant,AS,亞洲,SA,沙特阿拉伯,02,,,,,,Asia/Riyadh,0
107744,zh-Hant,AS,亞洲,SA,沙特阿拉伯,03,,,,,,Asia/Riyadh,0
107797,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,宰赫蘭,,Asia/Riyadh,0
107968,zh-Hant,AS,亞洲,SA,沙特阿拉伯,02,,,,塔伊夫,,Asia/Riyadh,0
108179,zh-Hant,AS,亞洲,SA,沙特阿拉伯,14,阿西爾省,,,,,Asia/Riyadh,0
108240,zh-Hant,AS,亞洲,SA,沙特阿拉伯,06,,,,,,Asia/Riyadh,0
108241,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
108410,zh-Hant,AS,亞洲,SA,沙特阿拉伯,01,利雅得省,,,利雅德,,Asia/Riyadh,0
108411,zh-Hant,AS,亞洲,SA,沙特阿拉伯,01,利雅得省,,,,,Asia/Riyadh,0
108512,zh-Hant,AS,亞洲,SA,沙特阿拉伯,08,,,,,,Asia/Riyadh,0
108927,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
108933,zh-Hant,AS,亞洲,SA,沙特阿拉伯,05,,,,,,Asia/Riyadh,0
109101,zh-Hant,AS,亞洲,SA,沙特阿拉伯,04,東部省,,,,,Asia/Riyadh,0
109102,zh-Hant,AS,亞洲,SA,沙特阿拉伯,01,利雅得省,,,,,Asia/Riyadh,0
109223,zh-Hant,AS,亞洲,SA,沙特阿拉伯,03,,,,麥地那,,Asia/Riyadh,0
109224,zh-Hant,AS,亞洲,SA,沙特阿拉伯,03,,,,,,Asia/Riyadh,0
