city_name,country_iso_code,country_name,region_1_iso_code,region_1_name,region_2_iso_code,region_2_name
"城市名称","国家ISO编码","国家名称","一级行政区ISO编码-1","一级行政区ISO编码-1","一级行政区ISO编码-2","一级行政区ISO编码-2"
Canillo,AD,Andorra,02,Canillo,,
El Tarter,AD,Andorra,02,Canillo,,
Soldeu,AD,Andorra,02,Canillo,,
l'Aldosa de canillo,AD,Andorra,02,Canillo,,
Encamp,AD,Andorra,03,Encamp,,
Pas de la Casa,AD,Andorra,03,Encamp,,
Arinsal,AD,Andorra,04,La Massana,,
La Massana,AD,Andorra,04,La Massana,,
Puiol del Piu,AD,Andorra,04,La Massana,,
l'Aldosa,AD,Andorra,04,La Massana,,
Ordino,AD,Andorra,05,Ordino,,
Sant Julià de Lòria,AD,Andorra,06,Sant Julià de Loria,,
Andorra la Vella,AD,Andorra,07,Andorra la Vella,,
La Margineda,AD,Andorra,07,Andorra la Vella,,
Santa Coloma,AD,Andorra,07,Andorra la Vella,,
Les Escaldes,AD,Andorra,08,Escaldes-Engordany,,
Ajman,AE,United Arab Emirates,AJ,Ajman,,
Abu Dhabi,AE,United Arab Emirates,AZ,Abu Dhabi,,
Al Ain City,AE,United Arab Emirates,AZ,Abu Dhabi,,
Al Araad,AE,United Arab Emirates,AZ,Abu Dhabi,,
Al Shamkhah City,AE,United Arab Emirates,AZ,Abu Dhabi,,
Al Wiqan,AE,United Arab Emirates,AZ,Abu Dhabi,,
Al'Arad,AE,United Arab Emirates,AZ,Abu Dhabi,,
Bani Yas City,AE,United Arab Emirates,AZ,Abu Dhabi,,
Khalifah A City,AE,United Arab Emirates,AZ,Abu Dhabi,,
Masdar City,AE,United Arab Emirates,AZ,Abu Dhabi,,
Mezaira’a,AE,United Arab Emirates,AZ,Abu Dhabi,,
Musaffah City,AE,United Arab Emirates,AZ,Abu Dhabi,,
Ruwais,AE,United Arab Emirates,AZ,Abu Dhabi,,
Zayed City,AE,United Arab Emirates,AZ,Abu Dhabi,,
Dubai,AE,United Arab Emirates,DU,Dubai,,
Dubai Internet City,AE,United Arab Emirates,DU,Dubai,,
Silicon Oasis,AE,United Arab Emirates,DU,Dubai,,
Al Fujairah City,AE,United Arab Emirates,FU,Fujairah,,
Dibba Al-Fujairah,AE,United Arab Emirates,FU,Fujairah,,
Dibba Al-Hisn,AE,United Arab Emirates,FU,Fujairah,,
Reef Al Fujairah City,AE,United Arab Emirates,FU,Fujairah,,
Baighit,AE,United Arab Emirates,RK,Ra's al Khaymah,,
Musaibat,AE,United Arab Emirates,RK,Ra's al Khaymah,,
Ras Ash,AE,United Arab Emirates,RK,Ra's al Khaymah,,
Ras al-Khaimah,AE,United Arab Emirates,RK,Ra's al Khaymah,,
Shairi,AE,United Arab Emirates,RK,Ra's al Khaymah,,
Kalbā,AE,United Arab Emirates,SH,Sharjah,,
Khor'fakkan,AE,United Arab Emirates,SH,Sharjah,,
